batsman,out,run,ball,minutes,4s,6s,sr,match_id,batting_position
Jitesh Sharma †,c Yadav b Southee,21,11,13,1,2,190.90,1359476,4
Sikandar Raza ,c Rana b Narine,16,13,22,1,1,123.07,1359476,5
Sam Curran ,not out ,26,17,27,0,2,152.94,1359476,6
M Shahrukh Khan ,not out ,11,7,11,2,0,157.14,1359476,7
Extras,"(lb 1, nb 1, w 2)",4,,,,,,1359476,8
TOTAL,20 Ov (RR: 9.55),191/5,,,,,,1359476,9
Devon Conway , b Mohammed Shami,1,6,-,0,0,16.66,1359475,1
Ruturaj Gaikwad ,c Shubman Gill b Joseph,92,50,-,4,9,184.00,1359475,2
Moeen Ali ,c †Saha b Rashid Khan,23,17,-,4,1,135.29,1359475,3
Ben Stokes ,c †Saha b Rashid Khan,7,6,-,1,0,116.66,1359475,4
Ambati Rayudu , b Little,12,12,-,0,1,100.00,1359475,5
Shivam Dube ,c Rashid Khan b Mohammed Shami,19,18,-,0,1,105.55,1359475,6
Ravindra Jadeja ,c Shankar b Joseph,1,2,-,0,0,50.00,1359475,7
MS Dhoni (c)†,not out ,14,7,-,1,1,200.00,1359475,8
Mitchell Santner ,not out ,1,3,-,0,0,33.33,1359475,9
Extras,"(b 1, lb 6, nb 1)",8,,,,,,1359475,10
TOTAL,20 Ov (RR: 8.90),178/7,,,,,,1359475,11
Ruturaj Gaikwad ,c Rashid Khan b Noor Ahmad,26,16,30,3,1,162.50,1370353,1
Devon Conway ,c Sharma b Noor Ahmad,47,25,34,4,2,188.00,1370353,2
Shivam Dube ,not out ,32,21,49,0,2,152.38,1370353,3
Ajinkya Rahane ,c Shankar b Sharma,27,13,20,2,2,207.69,1370353,4
Ambati Rayudu ,c & b Sharma,19,8,8,1,2,237.50,1370353,5
MS Dhoni (c)†,c Miller b Sharma,0,1,1,0,0,0.00,1370353,6
Ravindra Jadeja ,not out ,15,6,14,1,1,250.00,1370353,7
Extras,"(lb 1, w 4)",5,,,,,,1370353,8
TOTAL,15 Ov (RR: 11.40),171/5,,,,,,1370353,9
Rohit Sharma (c),c Little b Mohammed Shami,8,7,17,1,0,114.28,1370352,1
Nehal Wadhera ,c †Saha b Mohammed Shami,4,3,3,1,0,133.33,1370352,2
Cameron Green , b Little,30,20,54,2,2,150.00,1370352,3
Suryakumar Yadav , b Sharma,61,38,61,7,2,160.52,1370352,4
Tilak Varma , b Rashid Khan,43,14,17,5,3,307.14,1370352,5
Vishnu Vinod †,c Pandya b Sharma,5,7,19,0,0,71.42,1370352,6
Tim David ,lbw b Rashid Khan,2,3,6,0,0,66.66,1370352,7
Chris Jordan ,c Sai Sudharsan b Sharma,2,5,7,0,0,40.00,1370352,8
Piyush Chawla ,c Miller b Sharma,0,2,5,0,0,0.00,1370352,9
Kumar Kartikeya ,c Miller b Sharma,6,7,10,1,0,85.71,1370352,10
Jason Behrendorff ,not out ,3,5,8,0,0,60.00,1370352,11
Extras,"(lb 2, nb 1, w 4)",7,,,,,,1370352,12
TOTAL,18.2 Ov (RR: 9.32),171,,,,,,1370352,13
Kyle Mayers ,c Green b Jordan,18,13,18,3,0,138.46,1370351,1
Prerak Mankad ,c Shokeen b Madhwal,3,6,9,0,0,50.00,1370351,2
Krunal Pandya (c),c David b Chawla,8,11,35,1,0,72.72,1370351,3
Marcus Stoinis ,run out (David/†Ishan Kishan),40,27,45,5,1,148.14,1370351,4
Ayush Badoni , b Madhwal,1,7,6,0,0,14.28,1370351,5
Nicholas Pooran †,c †Ishan Kishan b Madhwal,0,1,1,0,0,0.00,1370351,6
Deepak Hooda ,run out (Green/Madhwal/Sharma),15,13,26,0,1,115.38,1370351,7
Krishnappa Gowtham ,run out (Sharma),2,3,3,0,0,66.66,1370351,8
Ravi Bishnoi ,c Jordan b Madhwal,3,6,8,0,0,50.00,1370351,9
Naveen-ul-Haq ,not out ,1,5,10,0,0,20.00,1370351,10
Mohsin Khan , b Madhwal,0,7,8,0,0,0.00,1370351,11
Extras,"(b 2, lb 5, w 3)",10,,,,,,1370351,12
TOTAL,16.3 Ov (RR: 6.12),101,,,,,,1370351,13
Wriddhiman Saha †,c Pathirana b Chahar,12,11,14,2,0,109.09,1370350,1
Shubman Gill ,c Conway b Chahar,42,38,58,4,1,110.52,1370350,2
Hardik Pandya (c),c Jadeja b Theekshana,8,7,12,1,0,114.28,1370350,3
Dasun Shanaka ,c Theekshana b Jadeja,17,16,12,1,1,106.25,1370350,4
David Miller , b Jadeja,4,6,11,0,0,66.66,1370350,5
Vijay Shankar ,c Gaikwad b Pathirana,14,10,30,0,1,140.00,1370350,6
Rahul Tewatia , b Theekshana,3,5,8,0,0,60.00,1370350,7
Rashid Khan ,c Conway b Deshpande,30,16,26,3,2,187.50,1370350,8
Darshan Nalkande ,run out (sub [SP Senapati]),0,1,1,0,0,0.00,1370350,9
Noor Ahmad ,not out ,7,5,14,1,0,140.00,1370350,10
Mohammed Shami ,c Chahar b Pathirana,5,5,8,1,0,100.00,1370350,11
Extras,"(lb 2, w 13)",15,,,,,,1370350,12
TOTAL,20 Ov (RR: 7.85),157,,,,,,1370350,13
Wriddhiman Saha †,c Parnell b Mohammed Siraj,12,14,15,2,0,85.71,1359544,1
Shubman Gill ,not out ,104,52,97,5,8,200.00,1359544,2
Vijay Shankar ,c Kohli b Vyshak,53,35,53,7,2,151.42,1359544,3
Dasun Shanaka ,c sub (SS Prabhudessai) b Patel,0,3,5,0,0,0.00,1359544,4
David Miller ,c sub (SS Prabhudessai) b Mohammed Siraj,6,7,12,1,0,85.71,1359544,5
Rahul Tewatia ,not out ,4,5,12,0,0,80.00,1359544,6
Extras,"(b 5, lb 6, nb 1, w 7)",19,,,,,,1359544,7
TOTAL,19.1 Ov (RR: 10.33),198/4,,,,,,1359544,8
Ishan Kishan †,c Brook b Kumar,14,12,14,1,1,116.66,1359543,1
Rohit Sharma (c),c Nitish Kumar Reddy b Dagar,56,37,72,8,1,151.35,1359543,2
Cameron Green ,not out ,100,47,85,8,8,212.76,1359543,3
Suryakumar Yadav ,not out ,25,16,27,4,0,156.25,1359543,4
Extras,"(lb 1, nb 4, w 1)",6,,,,,,1359543,5
TOTAL,18 Ov (RR: 11.16),201/2,,,,,,1359543,6
Jason Roy , b Pandya,45,28,44,7,1,160.71,1359542,1
Venkatesh Iyer ,c Ravi Bishnoi b Gowtham,24,15,25,3,1,160.00,1359542,2
Nitish Rana (c),c Pandya b Ravi Bishnoi,8,10,13,1,0,80.00,1359542,3
Rahmanullah Gurbaz †,c Ravi Bishnoi b Yash Thakur,10,15,25,0,0,66.66,1359542,4
Rinku Singh ,not out ,67,33,62,6,4,203.03,1359542,5
Andre Russell , b Ravi Bishnoi,7,9,13,0,1,77.77,1359542,6
Shardul Thakur ,c Mankad b Yash Thakur,3,7,14,0,0,42.85,1359542,7
Sunil Narine ,run out (Naveen-ul-Haq/†de Kock),1,2,4,0,0,50.00,1359542,8
Vaibhav Arora ,not out ,1,1,15,0,0,100.00,1359542,9
Extras,"(lb 4, w 5)",9,,,,,,1359542,10
TOTAL,20 Ov (RR: 8.75),175/7,,,,,,1359542,11
Prithvi Shaw ,c Rayudu b Deshpande,5,7,8,1,0,71.42,1359541,1
David Warner (c),c Gaikwad b Pathirana,86,58,92,7,5,148.27,1359541,2
Phil Salt †,c Rahane b Chahar,3,6,17,0,0,50.00,1359541,3
Rilee Rossouw , b Chahar,0,1,2,0,0,0.00,1359541,4
Yash Dhull ,c Deshpande b Jadeja,13,15,25,1,0,86.66,1359541,5
Axar Patel ,c Gaikwad b Chahar,15,8,15,1,1,187.50,1359541,6
Aman Hakim Khan ,c Ali b Pathirana,7,9,17,1,0,77.77,1359541,7
Lalit Yadav ,c Ali b Theekshana,6,12,16,0,0,50.00,1359541,8
Anrich Nortje ,not out ,0,1,10,0,0,0.00,1359541,9
Kuldeep Yadav ,lbw b Theekshana,0,1,2,0,0,0.00,1359541,10
Chetan Sakariya ,not out ,0,2,3,0,0,0.00,1359541,11
Extras,"(lb 3, w 8)",11,,,,,,1359541,12
TOTAL,20 Ov (RR: 7.30),146/9,,,,,,1359541,13
Yashasvi Jaiswal ,c sub (R Dhawan) b Ellis,50,36,72,8,0,138.88,1359540,1
Jos Buttler ,lbw b Rabada,0,4,7,0,0,0.00,1359540,2
Devdutt Padikkal ,c Harpreet Brar b Arshdeep Singh,51,30,38,5,3,170.00,1359540,3
Sanju Samson (c)†,c sub (R Dhawan) b Chahar,2,3,6,0,0,66.66,1359540,4
Shimron Hetmyer ,c Dhawan b Curran,46,28,50,4,3,164.28,1359540,5
Riyan Parag ,c Taide b Rabada,20,12,21,1,2,166.66,1359540,6
Dhruv Jurel ,not out ,10,4,11,0,1,250.00,1359540,7
Trent Boult ,not out ,1,2,6,0,0,50.00,1359540,8
Extras,"(lb 1, nb 1, w 7)",9,,,,,,1359540,9
TOTAL,19.4 Ov (RR: 9.61),189/6,,,,,,1359540,10
Virat Kohli ,c Phillips b Kumar,100,63,82,12,4,158.73,1359539,1
Faf du Plessis (c),c Tripathi b Natarajan,71,47,86,7,2,151.06,1359539,2
Glenn Maxwell ,not out ,5,3,11,1,0,166.66,1359539,3
Michael Bracewell ,not out ,4,4,6,0,0,100.00,1359539,4
Extras,"(b 2, nb 1, w 4)",7,,,,,,1359539,5
TOTAL,19.2 Ov (RR: 9.67),187/2,,,,,,1359539,6
Prabhsimran Singh ,c Dhull b Patel,22,19,40,4,0,115.78,1359538,1
Shikhar Dhawan (c),c Aman Hakim Khan b Sharma,0,1,9,0,0,0.00,1359538,2
Atharva Taide ,retired out ,55,42,67,5,2,130.95,1359538,3
Liam Livingstone ,c Patel b Sharma,94,48,69,5,9,195.83,1359538,4
Jitesh Sharma †,c Ahmed b Nortje,0,3,4,0,0,0.00,1359538,5
M Shahrukh Khan ,c Patel b Ahmed,6,3,7,0,1,200.00,1359538,6
Sam Curran , b Nortje,11,5,13,1,1,220.00,1359538,7
Harpreet Brar ,run out (†Salt/Nortje),0,1,3,0,0,0.00,1359538,8
Rahul Chahar ,not out ,0,0,9,0,0,-,1359538,9
Extras,"(lb 6, nb 2, w 2)",10,,,,,,1359538,10
TOTAL,20 Ov (RR: 9.90),198/8,,,,,,1359538,11
Ishan Kishan †,c Naveen-ul-Haq b Ravi Bishnoi,59,39,54,8,1,151.28,1359537,1
Rohit Sharma (c),c Hooda b Ravi Bishnoi,37,25,47,1,3,148.00,1359537,2
Suryakumar Yadav , b Yash Thakur,7,9,22,0,0,77.77,1359537,3
Nehal Wadhera ,c sub (K Gowtham) b Mohsin Khan,16,20,28,2,0,80.00,1359537,4
Tim David ,not out ,32,19,41,1,3,168.42,1359537,5
Vishnu Vinod ,c Pooran b Yash Thakur,2,4,9,0,0,50.00,1359537,6
Cameron Green ,not out ,4,6,17,0,0,66.66,1359537,7
Extras,"(b 4, lb 1, nb 2, w 8)",15,,,,,,1359537,8
TOTAL,20 Ov (RR: 8.60),172/5,,,,,,1359537,9
Anmolpreet Singh ,c Rashid Khan b Mohammed Shami,5,4,5,1,0,125.00,1359536,1
Abhishek Sharma ,c †Saha b Yash Dayal,5,5,10,1,0,100.00,1359536,2
Aiden Markram (c),c Shanaka b Mohammed Shami,10,10,19,1,0,100.00,1359536,3
Rahul Tripathi ,c Tewatia b Mohammed Shami,1,2,5,0,0,50.00,1359536,4
Heinrich Klaasen †,c Miller b Mohammed Shami,64,44,73,4,3,145.45,1359536,5
Sanvir Singh ,c Sai Sudharsan b Sharma,7,6,12,0,1,116.66,1359536,6
Abdul Samad ,c sub (Shivam Mavi) b Sharma,4,3,5,1,0,133.33,1359536,7
Marco Jansen ,c Pandya b Sharma,3,6,11,0,0,50.00,1359536,8
Bhuvneshwar Kumar ,c Rashid Khan b Sharma,27,26,51,3,0,103.84,1359536,9
Mayank Markande ,not out ,18,9,17,2,1,200.00,1359536,10
Fazalhaq Farooqi ,not out ,1,5,5,0,0,20.00,1359536,11
Extras,"(lb 4, w 5)",9,,,,,,1359536,12
TOTAL,20 Ov (RR: 7.70),154/9,,,,,,1359536,13
Jason Roy ,c Pathirana b Chahar,12,15,30,1,0,80.00,1359535,1
Rahmanullah Gurbaz †,c Deshpande b Chahar,1,4,8,0,0,25.00,1359535,2
Venkatesh Iyer ,c Jadeja b Chahar,9,4,11,2,0,225.00,1359535,3
Nitish Rana (c),not out ,57,44,72,6,1,129.54,1359535,4
Rinku Singh ,run out (Ali),54,43,54,4,3,125.58,1359535,5
Andre Russell ,not out ,2,2,9,0,0,100.00,1359535,6
Extras,"(lb 1, nb 1, w 10)",12,,,,,,1359535,7
TOTAL,18.3 Ov (RR: 7.94),147/4,,,,,,1359535,8
Yashasvi Jaiswal ,c Kohli b Mohammed Siraj,0,2,4,0,0,0.00,1359534,1
Jos Buttler ,c Mohammed Siraj b Parnell,0,2,10,0,0,0.00,1359534,2
Sanju Samson (c)†,c Anuj Rawat b Parnell,4,5,10,1,0,80.00,1359534,3
Joe Root ,lbw b Parnell,10,15,26,1,0,66.66,1359534,4
Devdutt Padikkal ,c Mohammed Siraj b Bracewell,4,4,16,1,0,100.00,1359534,5
Shimron Hetmyer ,c Bracewell b Maxwell,35,19,28,1,4,184.21,1359534,6
Dhruv Jurel ,c Lomror b Bracewell,1,7,6,0,0,14.28,1359534,7
Ravichandran Ashwin ,run out (Mohammed Siraj/Anuj Rawat),0,0,7,0,0,-,1359534,8
Adam Zampa , b Sharma,2,6,10,0,0,33.33,1359534,9
Sandeep Sharma ,not out ,0,1,4,0,0,0.00,1359534,10
KM Asif ,c Kohli b Sharma,0,2,3,0,0,0.00,1359534,11
Extras,"(lb 1, w 2)",3,,,,,,1359534,12
TOTAL,10.3 Ov (RR: 5.61),59,,,,,,1359534,13
David Warner (c),lbw b Harpreet Brar,54,27,49,10,1,200.00,1359533,1
Phil Salt †, b Harpreet Brar,21,17,31,3,0,123.52,1359533,2
Mitchell Marsh ,lbw b Chahar,3,4,7,0,0,75.00,1359533,3
Rilee Rossouw ,c Sikandar Raza b Harpreet Brar,5,5,6,1,0,100.00,1359533,4
Axar Patel ,lbw b Chahar,1,2,12,0,0,50.00,1359533,5
Manish Pandey , b Harpreet Brar,0,3,7,0,0,0.00,1359533,6
Aman Hakim Khan ,c Harpreet Brar b Ellis,16,18,24,1,1,88.88,1359533,7
Praveen Dubey , b Ellis,16,20,29,2,0,80.00,1359533,8
Kuldeep Yadav ,not out ,10,17,21,0,0,58.82,1359533,9
Mukesh Kumar ,not out ,6,7,12,0,0,85.71,1359533,10
Extras,"(lb 1, w 3)",4,,,,,,1359533,11
TOTAL,20 Ov (RR: 6.80),136/8,,,,,,1359533,12
Kyle Mayers ,c Markram b Phillips,2,14,16,0,0,14.28,1359532,1
Quinton de Kock †,c Abhishek Sharma b Markande,29,19,39,3,1,152.63,1359532,2
Prerak Mankad ,not out ,64,45,78,7,2,142.22,1359532,3
Marcus Stoinis ,c Abdul Samad b Abhishek Sharma,40,25,34,2,3,160.00,1359532,4
Nicholas Pooran ,not out ,44,13,22,3,4,338.46,1359532,5
Extras,"(lb 1, w 5)",6,,,,,,1359532,6
TOTAL,19.2 Ov (RR: 9.56),185/3,,,,,,1359532,7
Wriddhiman Saha †,lbw b Madhwal,2,5,10,0,0,40.00,1359531,1
Shubman Gill , b Madhwal,6,9,20,0,0,66.66,1359531,2
Hardik Pandya (c),c †Ishan Kishan b Behrendorff,4,3,5,1,0,133.33,1359531,3
Vijay Shankar , b Chawla,29,14,22,6,0,207.14,1359531,4
David Miller ,lbw b Madhwal,41,26,47,4,2,157.69,1359531,5
Abhinav Manohar , b Kartikeya,2,3,5,0,0,66.66,1359531,6
Rahul Tewatia ,c Green b Chawla,14,13,29,1,0,107.69,1359531,7
Rashid Khan ,not out ,79,32,44,3,10,246.87,1359531,8
Noor Ahmad , b Kartikeya,1,3,5,0,0,33.33,1359531,9
Alzarri Joseph ,not out ,7,12,37,1,0,58.33,1359531,10
Extras,"(lb 3, w 3)",6,,,,,,1359531,11
TOTAL,20 Ov (RR: 9.55),191/8,,,,,,1359531,12
Yashasvi Jaiswal ,not out ,98,47,62,12,5,208.51,1359530,1
Jos Buttler ,run out (Russell),0,3,10,0,0,0.00,1359530,2
Sanju Samson (c)†,not out ,48,29,53,2,5,165.51,1359530,3
Extras,"(b 1, lb 1, w 3)",5,,,,,,1359530,4
TOTAL,13.1 Ov (RR: 11.46),151/1,,,,,,1359530,5
David Warner (c),c Rahane b Chahar,0,2,2,0,0,0.00,1359529,1
Phil Salt †,c Rayudu b Chahar,17,11,19,1,2,154.54,1359529,2
Mitchell Marsh ,run out (Rahane),5,4,21,1,0,125.00,1359529,3
Manish Pandey ,lbw b Pathirana,27,29,42,1,2,93.10,1359529,4
Rilee Rossouw ,c Pathirana b Jadeja,35,37,44,2,1,94.59,1359529,5
Ripal Patel ,run out (Ali),10,16,31,0,0,62.50,1359529,6
Axar Patel ,c Rahane b Pathirana,21,12,20,2,1,175.00,1359529,7
Aman Hakim Khan ,not out ,2,3,13,0,0,66.66,1359529,8
Lalit Yadav , b Pathirana,12,5,7,3,0,240.00,1359529,9
Kuldeep Yadav ,not out ,0,1,1,0,0,0.00,1359529,10
Extras,"(lb 6, w 5)",11,,,,,,1359529,11
TOTAL,20 Ov (RR: 7.00),140/8,,,,,,1359529,12
Ishan Kishan †,c †Anuj Rawat b Hasaranga,42,21,24,4,4,200.00,1359528,1
Rohit Sharma (c),lbw b Hasaranga,7,8,27,1,0,87.50,1359528,2
Suryakumar Yadav ,c Jadhav b Vyshak,83,35,60,7,6,237.14,1359528,3
Nehal Wadhera ,not out ,52,34,61,4,3,152.94,1359528,4
Tim David ,c Maxwell b Vyshak,0,1,2,0,0,0.00,1359528,5
Cameron Green ,not out ,2,2,4,0,0,100.00,1359528,6
Extras,"(lb 6, nb 2, w 6)",14,,,,,,1359528,7
TOTAL,16.3 Ov (RR: 12.12),200/4,,,,,,1359528,8
Jason Roy ,c Shahrukh Khan b Harpreet Brar,38,24,40,8,0,158.33,1359527,1
Rahmanullah Gurbaz †,lbw b Ellis,15,12,25,1,1,125.00,1359527,2
Nitish Rana (c),c Livingstone b Chahar,51,38,50,6,1,134.21,1359527,3
Venkatesh Iyer ,c Livingstone b Chahar,11,13,28,0,0,84.61,1359527,4
Andre Russell ,run out (†Sharma/Arshdeep Singh),42,23,34,3,3,182.60,1359527,5
Rinku Singh ,not out ,21,10,25,2,1,210.00,1359527,6
Shardul Thakur ,not out ,0,0,1,0,0,-,1359527,7
Extras,"(lb 1, w 3)",4,,,,,,1359527,8
TOTAL,20 Ov (RR: 9.10),182/5,,,,,,1359527,9
Anmolpreet Singh ,c Hetmyer b Chahal,33,25,26,4,1,132.00,1359526,1
Abhishek Sharma ,c Chahal b R Ashwin,55,34,57,5,2,161.76,1359526,2
Rahul Tripathi ,c Jaiswal b Chahal,47,29,57,2,3,162.06,1359526,3
Heinrich Klaasen †,c Buttler b Chahal,26,12,15,2,2,216.66,1359526,4
Aiden Markram (c),lbw b Chahal,6,5,13,1,0,120.00,1359526,5
Glenn Phillips ,c Hetmyer b Yadav,25,7,12,1,3,357.14,1359526,6
Abdul Samad ,not out ,17,7,17,0,2,242.85,1359526,7
Marco Jansen ,not out ,3,2,10,0,0,150.00,1359526,8
Extras,"(nb 1, w 4)",5,,,,,,1359526,9
TOTAL,20 Ov (RR: 10.85),217/6,,,,,,1359526,10
Kyle Mayers ,c Rashid Khan b Sharma,48,32,46,7,2,150.00,1359525,1
Quinton de Kock †, b Rashid Khan,70,41,88,7,3,170.73,1359525,2
Deepak Hooda ,c Tewatia b Mohammed Shami,11,11,24,0,0,100.00,1359525,3
Marcus Stoinis ,c Mohammed Shami b Sharma,4,9,15,0,0,44.44,1359525,4
Nicholas Pooran ,c Mohammed Shami b Noor Ahmad,3,6,15,0,0,50.00,1359525,5
Ayush Badoni ,c Noor Ahmad b Sharma,21,11,15,1,2,190.90,1359525,6
Swapnil Singh ,not out ,2,4,14,0,0,50.00,1359525,7
Krunal Pandya (c),c Miller b Sharma,0,1,2,0,0,0.00,1359525,8
Ravi Bishnoi ,not out ,4,5,5,1,0,80.00,1359525,9
Extras,"(lb 3, w 5)",8,,,,,,1359525,10
TOTAL,20 Ov (RR: 8.55),171/7,,,,,,1359525,11
David Warner (c),c du Plessis b Hazlewood,22,14,26,3,1,157.14,1359524,1
Phil Salt †, b Sharma,87,45,76,8,6,193.33,1359524,2
Mitchell Marsh ,c Lomror b Patel,26,17,22,3,1,152.94,1359524,3
Rilee Rossouw ,not out ,35,22,34,1,3,159.09,1359524,4
Axar Patel ,not out ,8,3,5,0,1,266.66,1359524,5
Extras,"(b 4, lb 2, nb 1, w 2)",9,,,,,,1359524,6
TOTAL,16.4 Ov (RR: 11.22),187/3,,,,,,1359524,7
Ruturaj Gaikwad ,c †Ishan Kishan b Chawla,30,16,23,4,2,187.50,1359523,1
Devon Conway ,lbw b Madhwal,44,42,83,4,0,104.76,1359523,2
Ajinkya Rahane ,lbw b Chawla,21,17,23,1,1,123.52,1359523,3
Ambati Rayudu ,c Goyal b Stubbs,12,11,16,0,1,109.09,1359523,4
Shivam Dube ,not out ,26,18,27,0,3,144.44,1359523,5
MS Dhoni (c)†,not out ,2,3,7,0,0,66.66,1359523,6
Extras,"(lb 2, nb 1, w 2)",5,,,,,,1359523,7
TOTAL,17.4 Ov (RR: 7.92),140/4,,,,,,1359523,8
Wriddhiman Saha †,not out ,41,34,55,5,0,120.58,1359522,1
Shubman Gill ,st †Samson b Chahal,36,35,39,6,0,102.85,1359522,2
Hardik Pandya (c),not out ,39,15,17,3,3,260.00,1359522,3
Extras,"(lb 2, nb 1)",3,,,,,,1359522,4
TOTAL,13.5 Ov (RR: 8.60),119/1,,,,,,1359522,5
Abhishek Sharma ,c Russell b Thakur,9,10,25,1,0,90.00,1359521,1
Mayank Agarwal ,c †Rahmanullah Gurbaz b Harshit Rana,18,11,17,2,1,163.63,1359521,2
Rahul Tripathi ,c Arora b Russell,20,9,17,3,1,222.22,1359521,3
Aiden Markram (c),c Singh b Arora,41,40,64,4,0,102.50,1359521,4
Harry Brook ,lbw b AS Roy,0,4,6,0,0,0.00,1359521,5
Heinrich Klaasen †,c Russell b Thakur,36,20,34,1,3,180.00,1359521,6
Abdul Samad ,c AS Roy b Varun,21,18,34,3,0,116.66,1359521,7
Marco Jansen ,c †Rahmanullah Gurbaz b Arora,1,4,10,0,0,25.00,1359521,8
Bhuvneshwar Kumar ,not out ,5,5,16,1,0,100.00,1359521,9
Mayank Markande ,not out ,1,2,6,0,0,50.00,1359521,10
Extras,"(b 1, lb 6, nb 3, w 4)",14,,,,,,1359521,11
TOTAL,20 Ov (RR: 8.30),166/8,,,,,,1359521,12
Rohit Sharma (c),c Short b R Dhawan,0,3,3,0,0,0.00,1359520,1
Ishan Kishan †,c R Dhawan b Arshdeep Singh,75,41,80,7,4,182.92,1359520,2
Cameron Green ,c Chahar b Ellis,23,18,29,4,0,127.77,1359520,3
Suryakumar Yadav ,c Arshdeep Singh b Ellis,66,31,44,8,2,212.90,1359520,4
Tim David ,not out ,19,10,21,3,0,190.00,1359520,5
Tilak Varma ,not out ,26,10,15,1,3,260.00,1359520,6
Extras,"(b 4, w 3)",7,,,,,,1359520,7
TOTAL,18.5 Ov (RR: 11.46),216/4,,,,,,1359520,8
Wriddhiman Saha †,c †Salt b Ahmed,0,6,6,0,0,0.00,1359518,1
Shubman Gill ,c Pandey b Nortje,6,7,18,1,0,85.71,1359518,2
Hardik Pandya (c),not out ,59,53,94,7,0,111.32,1359518,3
Vijay Shankar , b Sharma,6,9,11,1,0,66.66,1359518,4
David Miller , b Kuldeep Yadav,0,3,9,0,0,0.00,1359518,5
Abhinav Manohar ,c Aman Hakim Khan b Ahmed,26,33,44,0,1,78.78,1359518,6
Rahul Tewatia ,c Rossouw b Sharma,20,7,19,0,3,285.71,1359518,7
Rashid Khan ,not out ,3,2,3,0,0,150.00,1359518,8
Extras,(w 5),5,,,,,,1359518,9
TOTAL,20 Ov (RR: 6.25),125/6,,,,,,1359518,10
Kyle Mayers ,c Anuj Rawat b Mohammed Siraj,0,2,3,0,0,0.00,1359517,1
Ayush Badoni ,c Kohli b Hazlewood,4,11,23,0,0,36.36,1359517,2
Krunal Pandya ,c Kohli b Maxwell,14,11,17,3,0,127.27,1359517,3
Deepak Hooda ,st †Karthik b Hasaranga,1,2,13,0,0,50.00,1359517,4
Marcus Stoinis ,c Prabhudessai b Sharma,13,19,31,0,1,68.42,1359517,5
Nicholas Pooran †,c Lomror b Sharma,9,7,9,0,1,128.57,1359517,6
Krishnappa Gowtham ,run out (sub [R Sonu Yadav]/†Karthik),23,13,20,1,2,176.92,1359517,7
Ravi Bishnoi ,run out (Patel/†Karthik),5,10,19,0,0,50.00,1359517,8
Amit Mishra ,c †Karthik b Patel,19,30,42,2,0,63.33,1359517,9
Naveen-ul-Haq ,c †Karthik b Hazlewood,13,13,20,2,0,100.00,1359517,10
KL Rahul (c),not out ,0,3,7,0,0,0.00,1359517,11
Extras,"(b 1, lb 1, nb 2, w 3)",7,,,,,,1359517,12
TOTAL,19.5 Ov (RR: 5.44),108,,,,,,1359517,13
Rohit Sharma (c), b Sandeep Sharma,3,5,12,0,0,60.00,1359516,1
Ishan Kishan †,c Boult b Ashwin,28,23,44,4,0,121.73,1359516,2
Cameron Green ,c Boult b Ashwin,44,26,47,4,2,169.23,1359516,3
Suryakumar Yadav ,c Sandeep Sharma b Boult,55,29,49,8,2,189.65,1359516,4
Tilak Varma ,not out ,29,21,63,3,1,138.09,1359516,5
Tim David ,not out ,45,14,27,2,5,321.42,1359516,6
Extras,"(lb 2, nb 1, w 7)",10,,,,,,1359516,7
TOTAL,19.3 Ov (RR: 10.97),214/4,,,,,,1359516,8
Prabhsimran Singh ,st †Dhoni b Jadeja,42,24,41,4,2,175.00,1359515,1
Shikhar Dhawan (c),c Pathirana b Deshpande,28,15,24,4,1,186.66,1359515,2
Atharva Taide ,c & b Jadeja,13,17,26,0,0,76.47,1359515,3
Liam Livingstone ,c Gaikwad b Deshpande,40,24,38,1,4,166.66,1359515,4
Sam Curran , b Pathirana,29,20,36,1,1,145.00,1359515,5
Jitesh Sharma †,c sub (SK Rasheed) b Deshpande,21,10,21,2,1,210.00,1359515,6
M Shahrukh Khan ,not out ,2,3,21,0,0,66.66,1359515,7
Sikandar Raza ,not out ,13,7,9,1,0,185.71,1359515,8
Extras,"(lb 7, w 6)",13,,,,,,1359515,9
TOTAL,20 Ov (RR: 10.05),201/6,,,,,,1359515,10
David Warner (c), b Kumar,0,2,2,0,0,0.00,1359514,1
Phil Salt †,c & b Markande,59,35,53,9,0,168.57,1359514,2
Mitchell Marsh ,c Markram b Hosein,63,39,63,1,6,161.53,1359514,3
Manish Pandey ,st †Klaasen b Abhishek Sharma,1,3,5,0,0,33.33,1359514,4
Priyam Garg , b Markande,12,9,15,1,0,133.33,1359514,5
Sarfaraz Khan , b Natarajan,9,10,19,1,0,90.00,1359514,6
Axar Patel ,not out ,29,14,24,1,2,207.14,1359514,7
Ripal Patel ,not out ,11,8,16,1,0,137.50,1359514,8
Extras,"(lb 1, w 3)",4,,,,,,1359514,9
TOTAL,20 Ov (RR: 9.40),188/6,,,,,,1359514,10
Wriddhiman Saha †,c Harshit Rana b Russell,10,10,21,1,0,100.00,1359513,1
Shubman Gill ,c Russell b Narine,49,35,53,8,0,140.00,1359513,2
Hardik Pandya (c),lbw b Harshit Rana,26,20,28,2,1,130.00,1359513,3
Vijay Shankar ,not out ,51,24,37,2,5,212.50,1359513,4
David Miller ,not out ,32,18,32,2,2,177.77,1359513,5
Extras,"(lb 9, w 3)",12,,,,,,1359513,6
TOTAL,17.5 Ov (RR: 10.09),180/3,,,,,,1359513,7
